11211,778,1270,1603,1829,1892,1828,,15,18,16,19,18,11,,17.2,,-36.04651163
11206,360,555,755,989,1087,1046,,58,61,47,58,42,34,,53.2,,-36.09022556
10475,117,170,147,208,198,485,,150,152,160,161,160,100,,156.6,,-36.14303959
11238,398,762,940,1116,1103,1272,,52,36,33,50,41,27,,42.4,,-36.32075472
11210,212,398,519,622,1087,829,,111,91,77,102,42,53,,84.6,,-37.35224586
10457,327,410,541,796,733,862,,71,86,74,78,77,48,,77.2,,-37.8238342
11226,202,417,515,914,803,833,,115,82,78,63,73,51,,82.2,,-37.95620438
10312,196,408,404,579,859,768,,118,88,104,114,66,56,,98,,-42.85714286
11233,143,299,439,601,572,826,,142,117,98,107,103,54,,113.4,,-52.38095238
11207,292,458,530,882,670,1012,,82,77,76,66,83,36,,76.8,,-53.125
10025,628,1183,1404,1820,1746,1949,,24,20,22,20,21,10,,21.4,,-53.27102804
11697,111,114,149,111,363,678,,153,166,159,173,138,67,,157.8,,-57.54119138
11216,245,493,585,761,829,1106,,96,71,70,82,70,31,,77.8,,-60.15424165
10473,249,204,207,285,458,831,,95,145,148,151,127,52,,133.2,,-60.96096096
11221,224,484,634,1029,1512,1669,,103,73,62,54,25,19,,63.4,,-70.03154574
